YEAR,MONTH,STORE,DAYPART,CATEGORY_ID,REVENUE_NET,QTY
2018,6,5,D,15,1900,650
2018,6,5,L,15,4700,1610
2018,7,5,B,15,8200,3100
2018,7,5,D,15,1700,580
2018,7,5,L,15,5100,1780
2018,8,5,B,15,7700,3010
2018,8,5,D,15,1700,590
2018,8,5,L,15,4500,1570
2018,9,5,B,15,7900,3020
2018,9,5,D,15,1800,620
2018,9,5,L,15,4800,1670
2018,10,5,B,15,7600,2860
2018,10,5,D,15,1600,560
2018,10,5,L,15,4800,1670
2018,11,5,B,15,7700,2900
2018,11,5,D,15,1800,610
2018,11,5,L,15,4400,1490
2018,12,5,B,15,7300,2750
2018,12,5,D,15,1700,580
2018,12,5,L,15,4700,1660
2019,1,5,B,15,7800,2730
2019,1,5,D,15,2400,720
2019,1,5,L,15,6100,1830
2019,2,5,B,15,7500,2520
2019,2,5,D,15,2200,620
2019,2,5,L,15,5700,1690
2019,3,5,B,15,8100,2770
2019,3,5,D,15,2100,610
2019,3,5,L,15,5500,1700
2019,4,5,B,15,7600,2640
2019,4,5,D,15,1700,510
2019,4,5,L,15,5200,1650
2019,5,5,B,15,7700,2640
2019,5,5,D,15,1400,440
2019,5,5,L,15,4400,1390
2019,6,5,B,15,7700,2710
2019,6,5,D,15,1500,480
2019,6,5,L,15,4700,1540
2018,1,6,B,15,7200,2850
2018,1,6,D,15,1600,570
2018,1,6,L,15,4700,1700
2018,2,6,B,15,7000,2710
2018,2,6,D,15,1500,520
2018,2,6,L,15,4700,1700
2018,3,6,B,15,7700,2980
2018,3,6,D,15,1700,600
2018,3,6,L,15,4700,1680
2018,4,6,B,15,8100,3100
2018,4,6,D,15,1800,610
2018,4,6,L,15,4900,1730
2018,5,6,B,15,9100,3400
